-443851.970,-1172430.000,357.580
-443850.840,-1172415.670,359.790
-443850.900,-1172402.060,372.070
-443843.810,-1172400.160,374.840
-443825.820,-1172333.000,351.350
-443828.040,-1172305.090,353.960
-443827.830,-1172304.240,353.510
-443849.680,-1172397.410,374.660
-443849.620,-1172394.920,374.580
-443834.970,-1172407.920,369.260
-443834.690,-1172405.490,368.540
-443826.700,-1172365.770,362.580
-443826.470,-1172365.650,362.570
-443826.180,-1172350.230,359.680
-443802.280,-1172438.490,350.650
-443826.050,-1172339.810,349.700
-443707.360,-1172397.690,353.840
-443827.950,-1172305.310,354.020
-443849.860,-1172401.060,374.530
-443835.120,-1172407.980,369.380
-443834.720,-1172405.390,369.000
-443770.690,-1172435.710,361.450
-443826.710,-1172365.580,362.520
-443838.830,-1172355.010,370.950
-443826.470,-1172356.680,370.130
-443698.930,-1172298.990,355.850
