-443769.82,-1172293.56,358.80
-443769.24,-1172293.62,358.80
-443768.91,-1172293.64,358.80
-443768.37,-1172293.74,358.80
-443768.06,-1172293.75,358.80
-443767.56,-1172293.81,358.80
-443766.76,-1172293.97,358.80
-443766.30,-1172293.91,358.80
-443766.25,-1172293.89,358.80
-443765.36,-1172292.30,358.68
-443765.15,-1172291.29,358.62
-443765.10,-1172291.18,358.61
-443765.09,-1172290.89,358.59
-443765.03,-1172290.50,358.56
-443765.14,-1172290.52,358.57
-443766.20,-1172290.36,358.56
-443766.65,-1172290.38,358.57
-443766.93,-1172290.39,358.57
-443767.24,-1172290.38,358.57
-443767.40,-1172290.39,358.57
-443768.31,-1172290.37,358.58
-443768.58,-1172290.37,358.58
-443768.87,-1172290.36,358.58
-443768.97,-1172290.37,358.58
-443769.34,-1172290.38,358.59
-443769.43,-1172290.38,358.59
-443769.69,-1172290.42,358.59
-443770.56,-1172290.36,358.59
-443771.45,-1172290.38,358.60
-443771.72,-1172290.39,358.61
-443772.03,-1172290.36,358.61
-443772.86,-1172290.39,358.61
-443773.14,-1172290.39,358.62
-443773.27,-1172290.39,358.62
-443773.51,-1172290.38,358.62
-443773.86,-1172290.37,358.62
-443774.02,-1172290.36,358.62
-443774.22,-1172290.36,358.62
-443774.61,-1172290.48,358.63
-443774.67,-1172291.12,358.67
-443774.78,-1172292.37,358.76
-443774.80,-1172292.94,358.80
-443774.64,-1172293.03,358.80
-443774.15,-1172293.11,358.80
-443773.50,-1172293.10,358.80
-443773.13,-1172293.17,358.80
-443772.34,-1172293.59,358.82
-443771.67,-1172293.39,358.80
-443770.82,-1172293.45,358.80
-443770.58,-1172293.51,358.80
-443770.05,-1172293.57,358.80

